date,region,product,customer,quantity,unit_price,revenue,cost,profit
2023-01-28,West,Gizmo Pro,Customer 4,22,286.65,6306.25,3508.31,2797.94
2023-01-29,North,Gizmo Lite,Customer 15,10,162.75,1627.52,932.93,694.59
2023-01-30,South,Widget B,Customer 13,11,41.13,452.45,249.74,202.71
2023-01-31,East,Gizmo Pro,Customer 9,15,311.03,4665.41,3035.43,1629.98
2023-01-31,West,Widget B,Customer 32,11,37.83,416.12,283.69,132.43
2023-02-04,South,Widget B,Customer 8,10,36.19,361.86,239.87,121.99
2023-02-04,Central,Gadget Y,Customer 25,13,94.9,1233.65,646.85,586.8
2023-02-05,North,Widget A,Customer 36,3,24.51,73.52,42.16,31.36
2023-02-06,Central,Widget A,Customer 35,19,26.13,496.47,337.31,159.16
2023-02-06,Central,Gizmo Lite,Customer 18,14,138.87,1944.21,1087.93,856.28
2023-02-06,Central,Widget A,Customer 31,3,27.4,82.2,42.34,39.86
2023-02-07,West,Gadget Y,Customer 5,13,93.53,1215.89,681.61,534.28
2023-02-08,North,Gizmo Lite,Customer 5,10,161.53,1615.31,919.04,696.27
2023-02-08,North,Widget B,Customer 39,14,40.4,565.55,332.72,232.83
2023-02-08,East,Widget A,Customer 36,20,24.92,498.35,329.51,168.84
2023-02-08,East,Gizmo Lite,Customer 30,22,149.31,3284.71,2056.29,1228.42
2023-02-09,North,Gizmo Lite,Customer 4,20,136.36,2727.19,1554.47,1172.72
2023-02-09,South,Gizmo Pro,Customer 35,3,285.64,856.93,517.29,339.64
2023-02-09,East,Gizmo Pro,Customer 33,6,301.28,1807.65,1217.69,589.96
2023-02-10,South,Widget B,Customer 23,23,36.17,831.87,422.0,409.87
2023-02-11,South,Gizmo Pro,Customer 10,10,312.58,3125.8,2177.88,947.92
2023-02-11,East,Gizmo Pro,Customer 35,24,301.95,7246.77,4668.98,2577.79
2023-02-11,South,Gizmo Lite,Customer 32,19,153.72,2920.74,1775.68,1145.06
2023-02-12,North,Gizmo Pro,Customer 12,14,271.09,3795.31,1969.34,1825.97
2023-02-12,North,Gizmo Lite,Customer 17,2,137.45,274.9,162.65,112.25
2023-02-13,Central,Widget A,Customer 15,4,23.4,93.58,54.13,39.45
2023-02-13,West,Gizmo Pro,Customer 17,7,285.32,1997.24,1040.91,956.33
2023-02-15,South,Widget A,Customer 17,8,23.8,190.39,119.34,71.05
2023-02-17,North,Widget B,Customer 10,20,40.63,812.64,408.69,403.95
2023-02-17,South,Gadget Y,Customer 25,8,89.23,713.86,492.77,221.09
2023-02-18,South,Gizmo Pro,Customer 32,4,282.63,1130.52,748.18,382.34
2023-02-20,South,Gadget Y,Customer 1,17,99.88,1698.01,864.93,833.08
2023-02-20,North,Gadget X,Customer 6,20,128.87,2577.43,1334.15,1243.28
2023-02-20,East,Gizmo Lite,Customer 22,22,142.51,3135.17,1591.94,1543.23
2023-02-21,East,Gizmo Pro,Customer 22,11,281.77,3099.52,1627.59,1471.93
2023-02-22,East,Widget A,Customer 29,15,23.33,349.9,176.04,173.86
2023-02-22,North,Widget A,Customer 4,12,23.74,284.85,179.18,105.67
2023-02-22,South,Gadget Y,Customer 3,13,93.22,1211.92,824.88,387.04
2023-02-22,South,Gizmo Lite,Customer 11,19,151.12,2871.24,1699.84,1171.4
2023-02-23,East,Gizmo Pro,Customer 33,8,316.2,2529.6,1373.99,1155.61
2023-02-23,North,Gadget Y,Customer 1,4,103.26,413.04,281.63,131.41
2023-02-24,North,Widget B,Customer 7,8,36.22,289.73,157.73,132.0
2023-02-25,Central,Gizmo Pro,Customer 16,14,325.2,4552.83,2522.89,2029.94
2023-02-26,West,Gadget X,Customer 19,18,124.24,2236.39,1488.75,747.64
2023-02-26,North,Gizmo Lite,Customer 23,7,148.14,1036.96,693.52,343.44
2023-02-26,West,Widget B,Customer 17,24,42.54,1020.9,513.24,507.66
2023-02-27,East,Widget B,Customer 32,17,41.65,708.05,442.2,265.85
2023-02-27,North,Gizmo Pro,Customer 21,16,301.66,4826.59,3371.82,1454.77
2023-02-27,West,Widget A,Customer 2,24,24.82,595.67,406.15,189.52
2023-02-28,East,Gizmo Pro,Customer 4,1,277.02,277.02,163.39,113.63
2023-02-28,West,Gizmo Pro,Customer 1,8,310.66,2485.31,1368.07,1117.24
2023-02-28,West,Widget B,Customer 39,15,43.1,646.45,358.78,287.67
2023-02-28,South,Widget A,Customer 14,12,23.24,278.9,194.48,84.42
2023-02-28,North,Gizmo Pro,Customer 2,12,313.46,3761.53,2441.8,1319.73
2023-03-01,North,Gizmo Lite,Customer 23,2,135.98,271.96,161.85,110.11
2023-03-02,South,Gadget Y,Customer 6,7,102.2,715.42,492.89,222.53
2023-03-06,South,Widget B,Customer 21,21,42.41,890.66,616.26,274.4
2023-03-06,Central,Widget A,Customer 24,15,23.42,351.37,205.77,145.6
2023-03-07,East,Widget A,Customer 8,14,24.13,337.8,200.83,136.97
2023-03-07,Central,Gadget Y,Customer 34,18,93.98,1691.59,1033.22,658.37
2023-03-07,South,Gadget Y,Customer 39,6,101.76,610.55,333.02,277.53
2023-03-08,West,Gadget Y,Customer 14,9,91.63,824.65,416.1,408.55
2023-03-09,Central,Gadget Y,Customer 29,21,95.66,2008.83,1349.44,659.39
2023-03-10,North,Widget A,Customer 13,2,23.34,46.68,25.65,21.03
2023-03-10,South,Widget A,Customer 21,4,27.23,108.92,71.48,37.44
2023-03-11,South,Gadget Y,Customer 13,17,101.31,1722.19,1091.73,630.46
2023-03-11,Central,Gadget Y,Customer 23,4,96.55,386.19,201.27,184.92
2023-03-11,Central,Gizmo Pro,Customer 4,15,296.92,4453.75,2870.06,1583.69
2023-03-12,North,Widget B,Customer 20,18,38.15,686.67,357.2,329.47
2023-03-12,North,Widget B,Customer 3,7,42.18,295.29,203.84,91.45
2023-03-16,Central,Gizmo Lite,Customer 30,24,156.69,3760.49,2497.61,1262.88
2023-03-16,South,Widget A,Customer 23,7,23.76,166.33,113.61,52.72
2023-03-17,South,Gadget Y,Customer 14,20,96.4,1927.91,1207.58,720.33
2023-03-19,South,Gadget Y,Customer 37,20,96.21,1924.29,1154.68,769.61
2023-03-19,South,Gadget X,Customer 9,15,123.07,1846.04,953.21,892.83
2023-03-20,West,Gadget X,Customer 23,2,114.57,229.13,160.26,68.87
2023-03-20,Central,Gizmo Pro,Customer 19,5,314.25,1571.23,946.58,624.65
2023-03-20,North,Gadget X,Customer 21,24,122.1,2930.45,1876.16,1054.29
2023-03-21,East,Gizmo Pro,Customer 15,4,326.33,1305.33,729.67,575.66
2023-03-22,Central,Gizmo Pro,Customer 4,6,277.75,1666.52,852.51,814.01
2023-03-23,West,Gizmo Lite,Customer 33,24,159.23,3821.55,2099.06,1722.49
2023-03-23,North,Gizmo Lite,Customer 29,4,163.56,654.25,423.68,230.57
2023-03-23,West,Gizmo Lite,Customer 13,12,135.19,1622.3,904.28,718.02
2023-03-24,Central,Gadget Y,Customer 37,17,98.55,1675.41,1003.17,672.24
2023-03-24,East,Widget B,Customer 40,17,40.0,680.08,448.11,231.97
2023-03-25,North,Gadget Y,Customer 16,5,93.13,465.66,279.65,186.01
2023-03-25,East,Gadget Y,Customer 22,8,95.04,760.33,470.7,289.63
2023-03-25,West,Gadget X,Customer 3,17,131.12,2229.0,1128.45,1100.55
2023-03-26,South,Widget B,Customer 8,9,39.83,358.44,192.17,166.27
2023-03-26,Central,Widget B,Customer 6,21,42.51,892.71,465.8,426.91
2023-03-26,Central,Widget A,Customer 6,23,24.01,552.33,356.9,195.43
2023-03-26,North,Gizmo Lite,Customer 3,10,154.85,1548.54,1027.27,521.27
2023-03-27,South,Gizmo Lite,Customer 6,17,153.71,2612.99,1339.47,1273.52
2023-03-27,West,Widget B,Customer 12,21,42.2,886.14,542.7,343.44
2023-03-27,North,Widget A,Customer 10,8,22.55,180.39,101.97,78.42
2023-03-29,Central,Widget A,Customer 3,14,22.56,315.8,183.72,132.08
2023-03-29,North,Gadget X,Customer 6,1,110.93,110.93,58.24,52.69
2023-03-29,South,Gizmo Lite,Customer 37,1,150.25,150.25,84.07,66.18
2023-03-30,West,Gizmo Pro,Customer 35,9,288.0,2591.96,1681.25,910.71
2023-03-31,North,Gizmo Lite,Customer 8,24,147.16,3531.9,2130.64,1401.26
2023-03-31,East,Widget B,Customer 12,2,36.13,72.26,50.06,22.2
2023-04-02,East,Gadget X,Customer 32,15,117.93,1768.92,1115.47,653.45
2023-04-02,Central,Gadget X,Customer 13,11,113.73,1251.01,858.22,392.79
2023-04-03,North,Gadget Y,Customer 38,14,104.47,1462.55,889.63,572.92
2023-04-03,South,Gadget Y,Customer 27,15,88.62,1329.32,798.58,530.74
2023-04-04,Central,Gadget Y,Customer 5,12,85.83,1029.91,672.19,357.72
2023-04-05,South,Gadget Y,Customer 40,4,92.07,368.27,250.19,118.08
2023-04-05,North,Widget B,Customer 34,22,42.18,927.93,560.5,367.43
2023-04-06,East,Widget A,Customer 23,24,26.7,640.72,320.85,319.87
2023-04-06,South,Gizmo Lite,Customer 32,5,142.16,710.79,452.04,258.75
2023-04-06,North,Gadget X,Customer 2,17,116.96,1988.28,1245.45,742.83
2023-04-07,South,Gadget Y,Customer 14,5,86.8,433.99,285.02,148.97
2023-04-07,South,Gadget X,Customer 6,7,123.76,866.34,575.61,290.73
2023-04-08,Central,Gadget X,Customer 40,23,117.71,2707.28,1663.58,1043.7
2023-04-08,Central,Gadget X,Customer 39,22,114.97,2529.43,1662.83,866.6
2023-04-09,Central,Gizmo Lite,Customer 24,19,141.04,2679.75,1551.65,1128.1
2023-04-09,East,Gizmo Pro,Customer 29,11,283.25,3115.71,1609.19,1506.52
2023-04-10,North,Widget B,Customer 19,1,40.32,40.32,25.68,14.64
2023-04-11,East,Widget B,Customer 33,8,41.01,328.05,167.6,160.45
2023-04-11,East,Gadget Y,Customer 29,20,97.96,1959.17,1311.87,647.3
2023-04-11,North,Widget A,Customer 23,11,25.8,283.75,187.4,96.35
2023-04-12,East,Gizmo Lite,Customer 24,23,146.6,3371.71,2030.63,1341.08
2023-04-12,North,Gadget X,Customer 13,13,108.62,1412.02,786.37,625.65
2023-04-13,East,Widget B,Customer 37,2,38.89,77.79,45.22,32.57
2023-04-13,North,Widget B,Customer 15,2,36.33,72.66,46.07,26.59
2023-04-13,West,Gadget X,Customer 8,21,111.74,2346.63,1246.53,1100.1
2023-04-14,North,Gizmo Pro,Customer 29,18,305.29,5495.2,2899.58,2595.62
2023-04-14,South,Widget B,Customer 14,4,39.26,157.03,80.59,76.44
2023-04-14,South,Gadget X,Customer 34,18,131.92,2374.64,1391.7,982.94
2023-04-14,West,Widget B,Customer 20,16,36.72,587.45,342.83,244.62
2023-04-15,East,Widget B,Customer 12,22,42.91,943.99,536.37,407.62
2023-04-15,South,Widget B,Customer 12,10,42.86,428.56,249.86,178.7
2023-04-16,West,Gadget X,Customer 8,10,109.96,1099.6,597.68,501.92
2023-04-16,East,Gizmo Pro,Customer 18,12,326.37,3916.44,2659.13,1257.31
2023-04-16,North,Gadget Y,Customer 6,16,89.92,1438.72,935.24,503.48
2023-04-16,North,Widget A,Customer 32,4,24.12,96.49,52.76,43.73
2023-04-17,West,Gizmo Lite,Customer 11,7,138.76,971.35,635.8,335.55
2023-04-17,West,Gadget X,Customer 12,24,129.83,3116.01,2088.84,1027.17
2023-04-19,Central,Gizmo Lite,Customer 13,17,162.29,2758.89,1382.86,1376.03
2023-04-19,Central,Gadget X,Customer 26,15,129.8,1947.04,1155.79,791.25
2023-04-20,Central,Widget B,Customer 39,10,38.43,384.28,222.77,161.51
2023-04-20,West,Widget B,Customer 32,10,40.61,406.14,212.75,193.39
2023-04-20,North,Gadget Y,Customer 27,12,97.19,1166.3,679.24,487.06
2023-04-21,North,Widget B,Customer 16,8,37.97,303.79,196.03,107.76
2023-04-22,West,Gadget Y,Customer 25,16,93.54,1496.57,986.41,510.16
2023-04-23,South,Gizmo Lite,Customer 4,1,145.03,145.03,74.71,70.32
2023-04-23,East,Gizmo Lite,Customer 25,14,136.6,1912.41,1130.14,782.27
2023-04-23,North,Gizmo Pro,Customer 11,5,291.18,1455.89,908.85,547.04
2023-04-23,North,Gadget Y,Customer 26,15,93.15,1397.19,945.78,451.41
2023-04-23,South,Gadget Y,Customer 30,17,103.52,1759.77,1051.2,708.57
2023-04-25,Central,Widget A,Customer 19,5,24.22,121.08,61.0,60.08
2023-04-26,West,Widget A,Customer 20,9,25.23,227.05,118.32,108.73
2023-04-27,Central,Widget A,Customer 36,11,24.4,268.4,144.78,123.62
2023-04-27,East,Gizmo Lite,Customer 40,11,142.21,1564.27,920.97,643.3
2023-04-27,East,Gizmo Lite,Customer 12,22,138.92,3056.23,2011.31,1044.92
2023-04-27,East,Widget B,Customer 34,3,36.41,109.23,59.7,49.53
2023-04-28,South,Widget A,Customer 26,23,25.25,580.72,342.9,237.82
2023-04-28,West,Widget A,Customer 24,7,25.06,175.41,93.52,81.89
2023-05-02,North,Widget B,Customer 37,3,43.11,129.32,80.25,49.07
2023-05-02,West,Widget A,Customer 12,9,25.22,226.98,142.37,84.61
2023-05-04,East,Widget B,Customer 4,8,43.54,348.33,228.87,119.46
2023-05-06,North,Widget A,Customer 10,19,23.69,450.06,252.02,198.04
2023-05-07,North,Gizmo Lite,Customer 28,24,153.49,3683.74,2252.15,1431.59
2023-05-07,North,Gadget Y,Customer 31,9,93.56,842.03,545.04,296.99
2023-05-08,South,Gizmo Pro,Customer 31,14,322.57,4515.93,2508.83,2007.1
2023-05-08,East,Widget B,Customer 39,15,40.3,604.45,391.35,213.1
2023-05-08,Central,Widget A,Customer 19,11,26.69,293.64,147.49,146.15
2023-05-08,North,Gadget X,Customer 23,17,118.6,2016.23,1405.0,611.23
2023-05-09,South,Gizmo Pro,Customer 37,20,292.31,5846.2,2953.31,2892.89
2023-05-09,North,Widget B,Customer 16,16,39.6,633.64,411.73,221.91
2023-05-10,North,Gizmo Lite,Customer 20,18,154.23,2776.12,1844.72,931.4
2023-05-11,West,Gizmo Pro,Customer 24,17,297.84,5063.21,3515.9,1547.31
2023-05-11,North,Gadget X,Customer 6,23,114.85,2641.54,1630.26,1011.28
2023-05-12,East,Widget B,Customer 27,11,41.95,461.47,296.36,165.11
2023-05-12,East,Widget B,Customer 25,3,41.68,125.03,74.57,50.46
2023-05-13,South,Widget A,Customer 8,16,24.34,389.52,261.34,128.18
2023-05-13,South,Gizmo Pro,Customer 15,12,298.6,3583.22,2074.23,1508.99
2023-05-13,North,Gadget X,Customer 12,1,114.06,114.06,65.23,48.83
2023-05-13,South,Widget B,Customer 29,16,41.66,666.62,428.46,238.16
2023-05-14,East,Widget A,Customer 14,11,23.06,253.71,157.12,96.59
2023-05-15,Central,Gadget Y,Customer 34,1,86.71,86.71,48.75,37.96
2023-05-15,Central,Gadget Y,Customer 38,5,102.71,513.53,342.56,170.97
2023-05-16,North,Gadget Y,Customer 33,7,100.75,705.24,433.31,271.93
2023-05-17,North,Widget B,Customer 23,18,41.96,755.29,385.94,369.35
2023-05-17,West,Gadget Y,Customer 22,19,89.34,1697.45,886.09,811.36
2023-05-17,Central,Gizmo Pro,Customer 10,18,279.92,5038.52,3224.91,1813.61
2023-05-17,West,Gadget Y,Customer 4,4,102.74,410.95,282.98,127.97
2023-05-18,West,Gizmo Lite,Customer 12,15,143.51,2152.6,1198.52,954.08
2023-05-18,Central,Widget B,Customer 17,20,39.67,793.46,552.25,241.21
2023-05-18,North,Gadget X,Customer 38,17,129.75,2205.67,1220.47,985.2
2023-05-19,North,Gadget Y,Customer 20,21,96.74,2031.45,1307.93,723.52
2023-05-20,West,Gizmo Lite,Customer 8,8,162.67,1301.37,831.74,469.63
2023-05-20,Central,Widget A,Customer 25,2,23.42,46.85,26.63,20.22
2023-05-20,North,Widget B,Customer 23,21,41.94,880.75,453.87,426.88
2023-05-21,South,Gadget X,Customer 19,17,108.88,1850.91,1100.21,750.7
2023-05-21,Central,Gadget Y,Customer 14,8,93.24,745.93,520.15,225.78
2023-05-21,South,Widget A,Customer 36,8,23.66,189.3,118.72,70.58
2023-05-21,South,Gadget X,Customer 39,14,116.42,1629.84,1065.0,564.84
2023-05-21,South,Widget B,Customer 14,4,38.05,152.22,84.78,67.44
2023-05-23,East,Widget A,Customer 24,13,26.05,338.71,235.29,103.42
2023-05-23,East,Gizmo Pro,Customer 3,16,314.23,5027.62,3434.12,1593.5
2023-05-24,West,Gadget X,Customer 7,16,128.71,2059.39,1394.66,664.73
2023-05-24,Central,Gadget Y,Customer 32,19,97.39,1850.36,1136.72,713.64
2023-05-25,South,Widget A,Customer 28,2,26.79,53.58,26.89,26.69
2023-05-26,North,Gizmo Lite,Customer 34,15,157.36,2360.45,1384.01,976.44
2023-05-26,East,Widget B,Customer 36,9,38.19,343.73,209.96,133.77
2023-05-26,Central,Widget A,Customer 11,21,26.25,551.21,318.93,232.28
2023-05-27,South,Gadget X,Customer 5,13,131.32,1707.12,928.93,778.19
2023-05-28,North,Gadget Y,Customer 17,13,88.44,1149.7,718.18,431.52
2023-05-29,West,Gizmo Lite,Customer 8,10,155.01,1550.08,910.02,640.06
2023-05-29,North,Gadget X,Customer 40,2,122.45,244.89,150.97,93.92
2023-05-29,West,Gizmo Lite,Customer 1,4,137.56,550.24,279.85,270.39
2023-05-29,Central,Gadget X,Customer 39,17,123.68,2102.58,1132.16,970.42
2023-05-30,West,Gizmo Pro,Customer 40,17,306.41,5208.98,3522.28,1686.7
2023-05-30,North,Gadget Y,Customer 36,22,95.48,2100.65,1343.51,757.14
2023-05-31,South,Widget B,Customer 5,23,37.21,855.85,453.92,401.93
2023-05-31,North,Gadget Y,Customer 33,14,90.65,1269.03,697.35,571.68
2023-06-01,South,Widget A,Customer 24,20,22.92,458.41,244.02,214.39
2023-06-01,North,Widget A,Customer 18,10,23.33,233.31,159.42,73.89
2023-06-02,East,Gadget Y,Customer 23,21,85.71,1799.89,949.22,850.67
2023-06-02,West,Gizmo Lite,Customer 32,23,163.58,3762.44,2127.09,1635.35
2023-06-04,West,Widget A,Customer 35,19,22.65,430.35,292.41,137.94
2023-06-04,West,Widget B,Customer 23,11,37.34,410.73,246.47,164.26
2023-06-04,South,Gizmo Lite,Customer 21,12,159.43,1913.18,1063.86,849.32
2023-06-05,East,Widget A,Customer 23,0,26.95,0.0,108.33,-108.33
2023-06-05,South,Gizmo Pro,Customer 18,15,286.95,4304.3,2392.34,1911.96
2023-06-06,North,Widget A,Customer 37,23,23.22,533.96,288.82,245.14
2023-06-07,West,Gizmo Lite,Customer 6,19,137.69,2616.2,1442.48,1173.72
2023-06-08,South,Gadget Y,Customer 38,23,86.44,1988.04,1147.61,840.43
2023-06-10,East,Gadget Y,Customer 38,20,98.97,1979.32,1003.97,975.35
2023-06-10,West,Gizmo Pro,Customer 20,3,328.04,984.11,632.81,351.3
2023-06-10,South,Gadget X,Customer 22,18,123.92,2230.65,1194.75,1035.9
2023-06-11,South,Gadget Y,Customer 18,3,91.5,274.49,172.65,101.84
2023-06-12,South,Gizmo Lite,Customer 5,18,146.62,2639.11,1733.58,905.53
2023-06-12,East,Widget B,Customer 30,13,39.74,516.6,269.33,247.27
2023-06-13,South,Widget B,Customer 14,5,36.56,182.8,105.85,76.95
2023-06-13,South,Widget A,Customer 11,21,26.72,561.16,291.59,269.57
2023-06-14,South,Gizmo Lite,Customer 7,9,137.58,1238.25,757.6,480.65
2023-06-14,North,Widget B,Customer 22,8,36.72,293.74,203.36,90.38
2023-06-15,East,Gadget Y,Customer 30,23,95.45,2195.31,1403.96,791.35
2023-06-15,North,Gizmo Pro,Customer 30,19,287.56,5463.63,3327.82,2135.81
2023-06-16,West,Widget A,Customer 19,5,26.16,130.81,71.5,59.31
2023-06-16,North,Widget A,Customer 14,18,24.43,439.69,221.25,218.44
2023-06-17,North,Widget A,Customer 5,16,26.81,429.01,229.89,199.12
2023-06-18,East,Widget B,Customer 14,4,37.86,151.43,102.41,49.02
2023-06-18,North,Widget A,Customer 7,16,25.41,406.54,235.91,170.63
2023-06-18,West,Widget A,Customer 17,3,24.01,72.04,43.69,28.35
2023-06-18,East,Gadget X,Customer 32,18,130.18,2343.2,1556.04,787.16
2023-06-20,Central,Gizmo Lite,Customer 21,20,144.04,2880.71,1583.8,1296.91
2023-06-20,Central,Gizmo Pro,Customer 30,6,326.59,1959.54,1072.71,886.83
2023-06-20,North,Gizmo Pro,Customer 9,17,285.17,4847.89,2489.18,2358.71
2023-06-20,North,Gizmo Pro,Customer 32,7,287.39,2011.7,1070.72,940.98
2023-06-22,West,Gadget Y,Customer 14,12,96.08,1152.96,782.14,370.82
2023-06-22,Central,Widget A,Customer 19,15,24.75,371.24,201.84,169.4
2023-06-23,North,Gadget Y,Customer 31,11,88.22,970.4,487.92,482.48
2023-06-24,West,Widget A,Customer 19,3,25.98,77.95,49.92,28.03
2023-06-24,Central,Gizmo Lite,Customer 23,16,144.96,2319.36,1467.13,852.23
2023-06-24,South,Widget A,Customer 17,3,24.91,74.74,44.94,29.8
2023-06-25,North,Gizmo Lite,Customer 24,8,141.21,1129.69,687.75,441.94
2023-06-26,Central,Widget B,Customer 26,4,40.13,160.53,89.4,71.13
2023-06-26,East,Widget A,Customer 21,9,22.89,205.99,137.14,68.85
2023-06-26,East,Gadget Y,Customer 11,2,87.72,175.44,92.25,83.19
2023-06-27,North,Gizmo Pro,Customer 11,24,281.2,6748.88,3501.37,3247.51
2023-06-29,East,Gizmo Pro,Customer 29,3,299.06,897.19,573.09,324.1
2023-07-01,Central,Widget A,Customer 19,1,23.84,23.84,12.87,10.97
2023-07-01,East,Widget B,Customer 30,20,38.21,764.15,499.54,264.61
2023-07-02,North,Widget B,Customer 25,13,39.43,512.53,321.05,191.48
2023-07-03,East,Widget B,Customer 23,12,40.26,483.1,253.7,229.4
2023-07-04,West,Widget B,Customer 33,16,43.85,701.6,404.35,297.25
2023-07-05,East,Gadget Y,Customer 30,19,100.64,1912.17,1086.48,825.69
2023-07-05,Central,Gizmo Lite,Customer 6,7,163.05,1141.33,716.09,425.24
2023-07-06,South,Widget B,Customer 2,24,40.51,972.33,651.57,320.76
2023-07-06,North,Gizmo Lite,Customer 4,13,141.6,1840.83,1111.23,729.6
2023-07-07,West,Gadget Y,Customer 37,15,86.72,1300.74,864.93,435.81
2023-07-07,South,Gadget Y,Customer 24,4,85.75,343.02,190.91,152.11
2023-07-09,South,Gizmo Lite,Customer 28,18,155.17,2793.09,1491.44,1301.65
2023-07-09,South,Gizmo Lite,Customer 38,4,137.11,548.45,313.16,235.29
2023-07-09,North,Gizmo Lite,Customer 3,5,153.23,766.13,409.19,356.94
2023-07-11,North,Widget B,Customer 12,20,42.53,850.52,526.87,323.65
2023-07-11,West,Gadget X,Customer 2,24,108.17,2596.08,1651.24,944.84
2023-07-12,South,Gizmo Pro,Customer 1,17,299.34,5088.82,3419.24,1669.58
2023-07-12,North,Widget A,Customer 25,3,25.3,75.91,47.5,28.41
2023-07-13,North,Gizmo Lite,Customer 6,12,140.45,1685.42,1093.19,592.23
2023-07-13,East,Widget B,Customer 5,6,43.74,262.46,168.55,93.91
2023-07-13,East,Gizmo Lite,Customer 8,24,164.06,3937.45,2175.32,1762.13
2023-07-14,East,Widget B,Customer 19,21,37.35,784.38,435.89,348.49
